,source_id,shortname,ra,dec,parallax,G,J
0,1,1658+1820,254.709737,18.333275,17.93,20.38,15.484
3,4,1448+1031,222.106791,10.533056,69.0,19.835,14.556
8,8,1728+0839,262.04725,8.6663889,28.56,18.202,13.634
10,10,1731+2721,262.873917,27.356472,83.74,16.804000000000002,12.094
16,16,1301-1510,195.47767,-15.172858,32.27,19.373,14.538
26,30,0453-1751,73.360292,-17.865083,33.22,20.178,15.142
30,36,0451-3402,72.753833,-34.0375,45.8,18.454,13.541
34,51,0408-1450,62.121042,-14.842611,45.44,19.105,14.222
40,72,0835+0548,128.992875,5.808556,25.75,19.504,14.533
42,74,2107-0307,316.882041,-3.126028,28.25,18.926,14.2
44,76,0028-1927,7.2310417,-19.454583,25.47,18.988,14.191
46,80,1552+2948,238.24591,29.81342,47.7,18.515,13.478
53,83,1547-2423,236.94662,-24.397028,29.2,18.744,13.97
60,91,0518-2756,79.692333,-27.946028,17.27,20.476,15.262
69,100,0053-3631,13.3291245,-36.5195,41.46,19.653,14.445
72,102,0046+0715,11.701708,7.2549167,26.62,18.883,13.885
76,104,1936-5502,294.007791,-55.042278,45.04,19.642,14.486
81,106,1745-1640,266.39442,-16.681611,51.03,18.429000000000002,13.646
87,111,1707-0558,256.847625,-5.973583,85.01,16.942,12.052
91,121,0935-2934,143.86675,-29.583219,30.27,18.917,14.036
97,127,1051+5613,162.82917,56.219056,64.0,18.077,13.244
99,128,0526-5026,81.7488915,-50.439339,37.52,20.686999999999998,15.412
102,135,1108+6830,167.1283755,68.504694,61.35,18.146,13.123
108,141,1409-3357,212.2629165,-33.965694,41.54,19.105,14.248
110,143,0016-4056,4.248042,-40.948361,27.63,20.601,15.316
112,145,2339+3507,354.8553315,35.121258,36.54,20.515,15.362
115,153,0339-3525,54.896708,-35.428889,155.76,15.465,10.725
122,155,1430+2915,217.681584,29.26125,30.65,19.235,14.273
125,159,1204+3212,181.1265,32.216528,41.2,18.623,13.818
127,166,2351-2537,357.960165,-25.626861,49.0,17.038,12.471
137,179,1213-0432,183.26396,-4.5454694,59.48,19.884,14.683
140,183,0141-4633,25.492625,-46.565944,25.0,20.02,14.832
144,184,0130-4445,22.648458,-44.761417,29.06,18.708,14.065
148,190,0218-3133,34.6213755,-31.556389,43.11,19.773,14.728
150,193,2041-3506,310.428459,-35.112278,24.89,19.882,14.887
152,196,1022+4114,155.562042,41.240722,25.36,19.659000000000002,14.901
157,204,0001+1535,0.300708,15.593194,31.63,20.798000000000002,15.522
165,222,0401-4050,60.374042,-40.8458,22.01,19.288,14.533
167,224,2045-6332,311.25992,-63.535167,41.72,17.615,12.619
171,225,0357-4417,59.362292,-44.291806,18.0,19.389,14.367
175,226,2013-2806,303.46467,-28.100556,19.0,19.089000000000002,14.242
179,228,1630+0938,247.67242,9.6457194,26.52,19.958,14.871
181,229,0407+1546,61.781333,15.779361,27.44,20.704,15.478
184,234,0857+5708,134.493708,57.147611,71.23,20.465999999999998,15.038
187,238,1256+0146,194.2369995,1.771194,28.55,19.539,14.48
189,239,0905+5623,136.4439315,56.386608,40.36,20.726,15.395
191,241,1004+5022,151.08608,50.383222,31.0,20.17,14.831
197,242,1657+1054,254.393916,10.906472,41.91,19.111,14.15
199,245,1746+5034,266.54996,50.567672,48.28,20.27,15.096
201,246,1705-0516,256.4514165,-5.2795,44.5,18.18,13.309
209,259,2344-0733,356.0260005,-7.557833,37.79,20.019000000000002,14.802
211,260,0144-0716,26.147334,-7.270611,79.03,19.634,14.191
213,266,1104+1959,166.005291,19.989361,55.92,19.608,14.38
215,268,1059-2113,164.964084,-21.218944,31.44,19.51,14.556
