distance 1,distance 2,distance 3,brightness 1,brightness 2,brightness 3,avg brightness,avg distance
0,0,0,18914,17035,16651,17533.333333333332,0.0
10,10,10,1826,3415,16604,7281.666666666667,10.0
20,20,20,624,818,3175,1539.0,20.0
30,30,30,240,337,818,465.0,30.0
40,40,40,144,144,337,208.33333333333334,40.0
50,50,50,47,94,144,95.0,50.0
60,60,60,47,47,47,47.0,60.0
70,70,70,47,47,3,32.333333333333336,70.0
80,80,80,3,3,94,33.333333333333336,80.0
90,90,90,3,3,3,3.0,90.0
100,100,100,47,47,3,32.333333333333336,100.0
